Data supplied by UK-AIR on 12/8/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2026,01:00,0.193069,R,mgm-3,47.344,R,ugm-3 (Ref.eq),3.35515,R,ugm-3,37.75182,R,ugm-3,42.89631,R,ugm-3,32.26382,R,ugm-3,47.000,R,ugm-3 (BAM),1.62926,R,ugm-3,2.20,P,ugm-3,2.90,P,ugm-3,2.20,P,ugm-3,2.30,P,ugm-3,,,,3.30,P,ugm-3,2.50,P,ugm-3
01-01-2026,02:00,0.139010,R,mgm-3,12.561,R,ugm-3 (Ref.eq),1.29044,R,ugm-3,16.76324,R,ugm-3,18.74189,R,ugm-3,61.00190,R,ugm-3,9.000,R,ugm-3 (BAM),0.42875,R,ugm-3,1.00,P,ugm-3,1.30,P,ugm-3,1.10,P,ugm-3,1.10,P,ugm-3,,,,1.20,P,ugm-3,1.10,P,ugm-3
01-01-2026,03:00,0.057921,R,mgm-3,7.730,R,ugm-3 (Ref.eq),0.85169,R,ugm-3,19.11225,R,ugm-3,20.41816,R,ugm-3,58.82326,R,ugm-3,10.000,R,ugm-3 (BAM),0.45019,R,ugm-3,1.30,P,ugm-3,1.40,P,ugm-3,1.40,P,ugm-3,1.30,P,ugm-3,,,,1.30,P,ugm-3,1.30,P,ugm-3
01-01-2026,04:00,0.078193,R,mgm-3,11.594,R,ugm-3 (Ref.eq),0.77426,R,ugm-3,19.53391,R,ugm-3,20.72110,R,ugm-3,56.87745,R,ugm-3,13.000,R,ugm-3 (BAM),0.64313,R,ugm-3,1.70,P,ugm-3,1.80,P,ugm-3,1.90,P,ugm-3,1.70,P,ugm-3,,,,1.70,P,ugm-3,1.80,P,ugm-3
01-01-2026,05:00,0.052128,R,mgm-3,8.696,R,ugm-3 (Ref.eq),0.69684,R,ugm-3,14.01794,R,ugm-3,15.08641,R,ugm-3,59.42197,R,ugm-3,8.000,R,ugm-3 (BAM),0.57882,R,ugm-3,1.00,P,ugm-3,1.00,P,ugm-3,1.00,P,ugm-3,0.90,P,ugm-3,,,,0.90,P,ugm-3,1.00,P,ugm-3
01-01-2026,06:00,0.098466,R,mgm-3,12.561,R,ugm-3 (Ref.eq),0.81298,R,ugm-3,11.29517,R,ugm-3,12.54172,R,ugm-3,63.31358,R,ugm-3,5.000,R,ugm-3 (BAM),0.57882,R,ugm-3,0.60,P,ugm-3,0.70,P,ugm-3,0.60,P,ugm-3,0.60,P,ugm-3,,,,0.60,P,ugm-3,0.60,P,ugm-3
01-01-2026,07:00,0.104258,R,mgm-3,7.730,R,ugm-3 (Ref.eq),0.46456,R,ugm-3,7.04295,R,ugm-3,7.75526,R,ugm-3,68.05337,R,ugm-3,6.000,R,ugm-3 (BAM),0.45019,R,ugm-3,0.40,P,ugm-3,0.50,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,,,,0.40,P,ugm-3,0.40,P,ugm-3
01-01-2026,08:00,0.055025,R,mgm-3,2.899,R,ugm-3 (Ref.eq),0.34842,R,ugm-3,5.70633,R,ugm-3,6.24056,R,ugm-3,68.65208,R,ugm-3,6.000,R,ugm-3 (BAM),0.38588,R,ugm-3,0.20,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.30,P,ugm-3
01-01-2026,09:00,0.069505,R,mgm-3,0.966,R,ugm-3 (Ref.eq),0.61941,R,ugm-3,6.74493,R,ugm-3,7.69468,R,ugm-3,66.50670,R,ugm-3,4.000,R,ugm-3 (BAM),0.45019,R,ugm-3,0.20,P,ugm-3,0.30,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2026,10:00,0.052128,R,mgm-3,3.865,R,ugm-3 (Ref.eq),0.92912,R,ugm-3,10.57180,R,ugm-3,11.99643,R,ugm-3,59.97079,R,ugm-3,3.000,R,ugm-3 (BAM),0.32156,R,ugm-3,0.70,P,ugm-3,0.80,P,ugm-3,0.70,P,ugm-3,0.70,P,ugm-3,,,,0.80,P,ugm-3,0.70,P,ugm-3
01-01-2026,11:00,0.057921,R,mgm-3,6.763,R,ugm-3 (Ref.eq),0.92912,R,ugm-3,8.51181,R,ugm-3,9.93643,R,ugm-3,62.81466,R,ugm-3,4.000,R,ugm-3 (BAM),0.45019,R,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,,,,0.50,P,ugm-3,0.50,P,ugm-3
01-01-2026,12:00,0.040544,R,mgm-3,6.763,R,ugm-3 (Ref.eq),1.31625,R,ugm-3,9.85703,R,ugm-3,11.87525,R,ugm-3,62.36563,R,ugm-3,5.000,R,ugm-3 (BAM),0.32156,R,ugm-3,0.40,P,ugm-3,0.50,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,,,,0.50,P,ugm-3,0.40,P,ugm-3
01-01-2026,13:00,0.055025,R,mgm-3,11.594,R,ugm-3 (Ref.eq),1.50982,R,ugm-3,12.65022,R,ugm-3,14.96524,R,ugm-3,58.92304,R,ugm-3,7.000,R,ugm-3 (BAM),0.70744,R,ugm-3,0.70,P,ugm-3,0.80,P,ugm-3,0.70,P,ugm-3,0.70,P,ugm-3,,,,0.90,P,ugm-3,0.70,P,ugm-3
