Data supplied by UK-AIR on 2/2/2023
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2023,01:00,0.116420,P,mgm-3,20.290,P,ugm-3 (Ref.eq),11.47516,P,ugm-3,7.26750,P,ugm-3,24.86250,P,ugm-3,68.45251,P,ugm-3,11.000,P,ugm-3 (BAM),1.50784,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,02:00,0.116420,P,mgm-3,16.425,P,ugm-3 (Ref.eq),11.72462,P,ugm-3,6.31125,P,ugm-3,24.28875,P,ugm-3,69.84950,P,ugm-3,13.000,P,ugm-3 (BAM),1.86263,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,03:00,0.116420,P,mgm-3,21.256,P,ugm-3 (Ref.eq),11.35043,P,ugm-3,3.63375,P,ugm-3,21.03750,P,ugm-3,71.64563,P,ugm-3,10.000,P,ugm-3 (BAM),1.79611,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,04:00,0.116420,P,mgm-3,17.392,P,ugm-3 (Ref.eq),11.59989,P,ugm-3,0.76500,P,ugm-3,18.55125,P,ugm-3,76.43531,P,ugm-3,8.000,P,ugm-3 (BAM),1.59654,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,05:00,0.116420,P,mgm-3,13.527,P,ugm-3 (Ref.eq),11.35043,P,ugm-3,1.14750,P,ugm-3,18.55125,P,ugm-3,76.63488,P,ugm-3,10.000,P,ugm-3 (BAM),1.46350,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,06:00,0.116420,P,mgm-3,16.425,P,ugm-3 (Ref.eq),11.35043,P,ugm-3,0.00000,P,ugm-3,17.40375,P,ugm-3,78.03187,P,ugm-3,11.000,P,ugm-3 (BAM),1.72959,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,07:00,0.116420,P,mgm-3,16.425,P,ugm-3 (Ref.eq),11.47516,P,ugm-3,0.00000,P,ugm-3,17.59500,P,ugm-3,80.82585,P,ugm-3,8.000,P,ugm-3 (BAM),1.53002,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,08:00,0.116420,P,mgm-3,16.425,P,ugm-3 (Ref.eq),11.59989,P,ugm-3,0.00000,P,ugm-3,17.78625,P,ugm-3,80.02757,P,ugm-3,11.000,P,ugm-3 (BAM),1.26393,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
01-01-2023,09:00,0.116420,P,mgm-3,20.290,P,ugm-3 (Ref.eq),11.97408,P,ugm-3,0.00000,P,ugm-3,18.36000,P,ugm-3,77.43316,P,ugm-3,7.000,P,ugm-3 (BAM),1.72959,P,ugm-3,,,,,,,,,,,,,,,,,,,,,
