Data supplied by UK-AIR on 20/5/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2024,01:00,0.184626,P,mgm-3,11.594,P,ugm-3 (Ref.eq),3.01013,P,ugm-3,12.20206,P,ugm-3,16.81753,P,ugm-3,60.73580,P,ugm-3,7.000,P,ugm-3 (BAM),1.33045,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,,,,0.50,P,ugm-3,0.50,P,ugm-3
01-01-2024,02:00,0.219243,P,mgm-3,14.493,P,ugm-3 (Ref.eq),2.73649,P,ugm-3,12.62165,P,ugm-3,16.81753,P,ugm-3,59.07272,P,ugm-3,5.000,P,ugm-3 (BAM),1.24175,P,ugm-3,0.60,P,ugm-3,0.60,P,ugm-3,0.60,P,ugm-3,0.60,P,ugm-3,,,,0.50,P,ugm-3,0.60,P,ugm-3
01-01-2024,03:00,0.167318,P,mgm-3,17.392,P,ugm-3 (Ref.eq),2.66807,P,ugm-3,12.81377,P,ugm-3,16.90476,P,ugm-3,59.82111,P,ugm-3,10.000,P,ugm-3 (BAM),0.99784,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,,,,0.50,P,ugm-3,0.50,P,ugm-3
01-01-2024,04:00,0.141354,P,mgm-3,15.459,P,ugm-3 (Ref.eq),2.49704,P,ugm-3,10.98255,P,ugm-3,14.81129,P,ugm-3,64.01208,P,ugm-3,7.000,P,ugm-3 (BAM),0.99784,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,,,,0.40,P,ugm-3,0.40,P,ugm-3
01-01-2024,05:00,0.124046,P,mgm-3,21.256,P,ugm-3 (Ref.eq),2.05237,P,ugm-3,11.92606,P,ugm-3,15.07298,P,ugm-3,64.36133,P,ugm-3,12.000,P,ugm-3 (BAM),0.93132,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,0.50,P,ugm-3,,,,0.50,P,ugm-3,0.50,P,ugm-3
01-01-2024,06:00,0.124046,P,mgm-3,19.324,P,ugm-3 (Ref.eq),1.40245,P,ugm-3,9.46836,P,ugm-3,11.61875,P,ugm-3,67.25509,P,ugm-3,11.000,P,ugm-3 (BAM),0.93132,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,,,,0.40,P,ugm-3,0.40,P,ugm-3
01-01-2024,07:00,0.152893,P,mgm-3,21.256,P,ugm-3 (Ref.eq),1.06039,P,ugm-3,11.30126,P,ugm-3,12.92717,P,ugm-3,64.01208,P,ugm-3,9.000,P,ugm-3 (BAM),1.26393,P,ugm-3,0.60,P,ugm-3,0.50,P,ugm-3,0.60,P,ugm-3,0.50,P,ugm-3,,,,0.50,P,ugm-3,0.50,P,ugm-3
01-01-2024,08:00,0.135585,P,mgm-3,16.425,P,ugm-3 (Ref.eq),0.58150,P,ugm-3,9.73273,P,ugm-3,10.62435,P,ugm-3,62.01638,P,ugm-3,5.000,P,ugm-3 (BAM),0.79827,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2024,09:00,0.124046,P,mgm-3,23.189,P,ugm-3 (Ref.eq),0.58150,P,ugm-3,14.07668,P,ugm-3,14.96830,P,ugm-3,59.07272,P,ugm-3,11.000,P,ugm-3 (BAM),0.86479,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,,,,0.30,P,ugm-3,0.30,P,ugm-3
01-01-2024,10:00,0.129815,P,mgm-3,9.662,P,ugm-3 (Ref.eq),0.68412,P,ugm-3,12.08755,P,ugm-3,13.13652,P,ugm-3,65.40907,P,ugm-3,8.000,P,ugm-3 (BAM),0.79827,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2024,11:00,0.121161,P,mgm-3,6.763,P,ugm-3 (Ref.eq),1.19721,P,ugm-3,14.65037,P,ugm-3,16.48607,P,ugm-3,59.62154,P,ugm-3,6.000,P,ugm-3 (BAM),0.73175,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,,,,0.30,P,ugm-3,0.30,P,ugm-3
01-01-2024,12:00,0.144239,P,mgm-3,10.628,P,ugm-3 (Ref.eq),1.98395,P,ugm-3,20.40483,P,ugm-3,23.44685,P,ugm-3,49.74282,P,ugm-3,7.000,P,ugm-3 (BAM),0.66523,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,,,,0.40,P,ugm-3,0.40,P,ugm-3
01-01-2024,13:00,0.161548,P,mgm-3,9.662,P,ugm-3 (Ref.eq),1.23142,P,ugm-3,13.13249,P,ugm-3,15.02064,P,ugm-3,55.18111,P,ugm-3,6.000,P,ugm-3 (BAM),0.26609,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2024,14:00,0.150008,P,mgm-3,13.527,P,ugm-3 (Ref.eq),1.60769,P,ugm-3,17.42287,P,ugm-3,19.88795,P,ugm-3,50.29164,P,ugm-3,3.000,P,ugm-3 (BAM),0.86479,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,0.40,P,ugm-3,,,,0.40,P,ugm-3,0.40,P,ugm-3
01-01-2024,15:00,0.161548,P,mgm-3,11.594,P,ugm-3 (Ref.eq),0.47889,P,ugm-3,9.41904,P,ugm-3,10.15332,P,ugm-3,60.46971,P,ugm-3,5.000,P,ugm-3 (BAM),0.66523,P,ugm-3,0.40,P,ugm-3,0.50,P,ugm-3,0.40,P,ugm-3,0.50,P,ugm-3,,,,0.50,P,ugm-3,0.50,P,ugm-3
01-01-2024,16:00,0.118276,P,mgm-3,5.797,P,ugm-3 (Ref.eq),0.37627,P,ugm-3,7.69227,P,ugm-3,8.26920,P,ugm-3,68.40262,P,ugm-3,7.000,P,ugm-3 (BAM),0.99784,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,,,,0.30,P,ugm-3,0.30,P,ugm-3
